BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness;MQ2;MQ135
27,06;59,79;95,77;26,13;95,53;26,90;28,80;71,40;26,75;26,71;95,65;65,60;82,00;60,00;7,00;16,00
27,06;59,76;95,77;26,15;95,53;26,90;28,80;71,40;26,75;26,72;95,65;65,58;82,00;60,00;7,00;15,00
27,06;59,75;95,77;26,14;95,53;26,90;28,80;71,40;26,75;26,71;95,65;65,57;82,00;60,00;7,00;15,00
27,07;59,76;95,77;26,14;95,53;26,90;28,80;71,40;26,75;26,71;95,65;65,58;82,00;60,00;7,00;15,00
27,07;59,76;95,77;26,15;95,53;26,90;28,79;71,30;26,75;26,72;95,65;65,53;82,00;60,00;7,00;15,00
27,07;59,79;95,77;26,16;95,53;26,90;28,79;71,30;26,75;26,72;95,65;65,55;83,00;60,00;7,00;15,00
27,08;59,75;95,77;26,15;95,53;26,90;28,80;71,40;26,75;26,72;95,65;65,57;82,00;60,00;7,00;15,00
27,08;59,71;95,77;26,16;95,53;26,90;28,80;71,40;26,75;26,72;95,65;65,56;82,00;60,00;7,00;14,00
27,08;59,66;95,77;26,15;95,53;26,90;28,80;71,40;26,75;26,72;95,65;65,53;82,00;60,00;7,00;14,00
27,09;59,57;95,77;26,16;95,53;26,90;28,80;71,40;26,75;26,72;95,65;65,48;81,00;60,00;7,00;14,00
27,08;59,52;95,77;26,15;95,53;26,90;28,80;71,40;26,75;26,72;95,65;65,46;82,00;60,00;7,00;14,00
27,09;59,49;95,76;26,16;95,53;26,90;28,80;71,40;26,75;26,73;95,65;65,45;82,00;59,00;7,00;14,00
27,09;59,47;95,76;26,16;95,53;26,90;28,79;71,30;26,75;26,73;95,65;65,38;82,00;60,00;7,00;13,00
27,09;59,45;95,77;26,16;95,53;26,90;28,79;71,30;26,75;26,73;95,65;65,37;82,00;59,00;7,00;13,00
27,10;59,42;95,76;26,16;95,53;26,90;28,79;71,30;26,75;26,73;95,64;65,36;81,00;60,00;7,00;13,00
27,10;59,40;95,77;26,17;95,53;26,90;28,79;71,30;26,75;26,73;95,65;65,35;82,00;60,00;7,00;13,00
27,10;59,37;95,77;26,17;95,53;26,90;28,79;71,30;26,75;26,73;95,65;65,34;82,00;60,00;6,00;13,00
27,11;59,36;95,77;26,17;95,53;26,90;28,79;71,30;26,75;26,73;95,65;65,33;81,00;60,00;6,00;13,00
27,11;59,35;95,76;26,16;95,53;26,90;28,79;71,30;26,75;26,73;95,65;65,32;81,00;61,00;6,00;13,00
27,11;59,32;95,77;26,17;95,53;26,90;28,79;71,30;26,75;26,73;95,65;65,31;81,00;59,00;6,00;13,00
27,11;59,29;95,77;26,19;95,53;26,90;28,79;71,30;26,75;26,74;95,65;65,30;80,00;60,00;6,00;12,00
27,12;59,27;95,77;26,19;95,53;26,90;28,79;71,30;26,75;26,74;95,65;65,29;82,00;60,00;6,00;12,00
27,12;59,24;95,77;26,18;95,53;26,90;28,78;71,20;26,75;26,74;95,65;65,22;83,00;60,00;6,00;12,00
27,12;59,21;95,77;26,18;95,53;26,90;28,78;71,20;26,75;26,74;95,65;65,20;82,00;59,00;6,00;12,00
